Dataset,E-c,E-c,E-c,E-c,EI-oc,EI-oc,EI-oc,EI-oc,EI-reg,EI-reg,EI-reg,EI-reg,Emobank,Emobank,Emobank,Emobank,GoEmotions,GoEmotions,GoEmotions,GoEmotions,SST,SST,SST,SST,SST5,SST5,SST5,SST5,TDT,TDT,TDT,TDT,"V-A,V-M,V-NYT,V-T","V-A,V-M,V-NYT,V-T","V-A,V-M,V-NYT,V-T","V-A,V-M,V-NYT,V-T",V-oc,V-oc,V-oc,V-oc,V-reg,V-reg,V-reg,V-reg
Metric,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size,mean_confidence,ace,mcove,avg_size
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emobloom-7b,0.5,0.1839565283477732,0.23967168262653893,2.3307113543091655,0.5,0.02217659762143747,0.04311524774158226,0.934330991270493,0.5,0.04003883730808909,0.058438012015292196,0.18744444444444447,0.5,0.02352467014551779,0.034096983581519635,1.0300000000000002,0.5,0.0906624720740437,0.17390233894132134,1.3314640040122192,0.5,0.02399172699069286,0.06504653567735263,0.22180444444444447,0.5,0.018149824032176978,0.034539969834087525,1.367297916317524,0.5,0.034435261707988975,0.06859504132231409,1.228099173553719,0.5,0.014484126984126988,0.036495535714285654,2.894204651878889,0.5,0.02107921318447634,0.058851674641148266,1.3270866560340244,0.5,0.05898247001449849,0.11921708185053381,0.18133333333333335
Emollama-7b,0.5,0.18439595408569154,0.2566655301738834,2.2773421222108574,0.5,0.02470688293542312,0.04958993985784588,0.8609136747463703,0.5,0.01565628982341162,0.03222282905516116,0.17211111111111113,0.5,0.042640075973409304,0.10170940170940168,0.6463333333333332,0.5,0.017167156896276528,0.03334701415965524,1.6865722689650455,0.5,0.027389531311099932,0.06309703368526898,0.28415066666666666,0.5,0.012776342233706557,0.02713178294573637,2.3474016652311227,0.5,0.031176583862892362,0.08925476603119586,1.1534758328519161,0.5,0.010462962962962967,0.023611111111111166,2.0038148148144446,0.5,0.05516061084781464,0.09999999999999998,1.8895471300684572,0.5,0.03317535545023697,0.06184834123222749,0.16544444444444442
Emollama-chat-13b,0.5,0.18171138396240713,0.2490450204638472,2.2074427770198577,0.5,0.023399478123672532,0.051556526488257814,0.932914618605498,0.5,0.024054857697675854,0.04680502457673397,0.16477777777777777,0.5,0.03612370303213458,0.06890299184043513,1.1191111111111112,0.5,0.0056465556465556555,0.009582309582309545,1.5878378378378377,0.5,0.0377464946092397,0.07099044746103572,0.2698171111111111,0.5,0.029121278140885973,0.06209150326797386,1.850734595832635,0.5,0.03563757078695567,0.09191564147627412,1.3026752587385275,0.5,0.015740740740740746,0.0247222222222222,1.7756202925611113,0.5,0.015692469720905735,0.03981042654028438,1.2993680884676144,0.5,0.01914165350184305,0.05213270142180093,0.15388888888888885
Emollama-chat-7b,0.5,0.20419753086419754,0.28837606837606833,2.1819563152896486,0.5,0.01187027420971121,0.04476632959825083,0.9006407336552186,0.5,0.024683601930255858,0.039470090139306246,0.17966666666666667,0.5,0.0347824130327168,0.06371000405022276,0.5577777777777779,0.5,0.012070508848034126,0.020429663292708122,1.6588629530170533,0.5,0.05706917815898644,0.08415741675075683,0.29039444444444446,0.5,0.022720110922039446,0.034940442427680046,2.2033780802924308,0.5,0.05202821869488536,0.08959435626102297,1.3227513227513228,0.5,0.01266135507380644,0.034741523068371305,1.7637851516855558,0.5,0.030776327929352833,0.09999999999999998,1.8758402530644522,0.5,0.033333333333333354,0.07345971563981046,0.16633333333333333
Emoopt-13b,0.5,0.23326514376633714,0.3415615410842141,2.8262681365306666,0.5,0.014697493779962371,0.03238667394866199,0.9186540445415378,0.5,0.008598822744098544,0.02228290551611145,0.16555555555555554,0.5,0.04605134234763865,0.08236331569664901,1.115333333333333,0.5,0.012542014789205795,0.023292999135695713,1.8508835109958706,0.5,0.009122395396905215,0.024736048265460053,0.2871622222222222,0.5,0.030194218608852755,0.05630081300813006,2.188742095754291,0.5,0.0671889838556505,0.13205128205128203,1.2462013295346628,0.5,0.019510839355197346,0.04380211228460251,1.8924109302936667,0.5,0.036997495716356944,0.06061684460260969,1.2048240411229736,0.5,0.019483938915218546,0.049052132701421725,0.1506666666666667
