Dataset,Model,Samples,MAE,MSE,RMSE,Mean_Residual,Std_Residual,R_squared
"V-A,V-M,V-NYT,V-T",Emobloom-7b,3998,1.5265161287287183,3.1978740859992536,1.7882600722487916,0.12047623183755332,1.784197176200399,-0.3152785600558181
"V-A,V-M,V-NYT,V-T",Emollama-7b,4000,1.108930966759383,1.902170014642548,1.3791917976273451,-0.5421267562783655,1.2681753012772508,0.2175867558511443
"V-A,V-M,V-NYT,V-T",Emollama-chat-13b,4000,0.9605114196828106,1.411061552655026,1.187881118906697,-0.2999085062783655,1.149398294986079,0.41959276057981176
"V-A,V-M,V-NYT,V-T",Emollama-chat-7b,3998,1.0667557639635123,1.8266944138382304,1.3515525938113657,-0.7260265195381346,1.1399911871438186,0.24771894603976752
"V-A,V-M,V-NYT,V-T",Emoopt-13b,4000,1.1482497137543368,1.969417287129129,1.4033592865439446,-0.7546987562783657,1.183151331994778,0.1899261596786853
