Dataset,Model,Samples,MAE,MSE,RMSE,Mean_Residual,Std_Residual,R_squared
V-reg,Emobloom-7b,937,0.08722411953041624,0.012961422625400213,0.11384824383977213,-0.0028847385272145138,0.11381169056397421,0.725331383990125
V-reg,Emollama-7b,937,0.083846318036286,0.011481188900747064,0.10715030984904833,-0.024742796157950903,0.10425441448223262,0.7566993719241708
V-reg,Emollama-chat-13b,937,0.08002774813233723,0.010412160085378867,0.10203999257829681,-0.007805763073639277,0.10174099541589457,0.7793534179867103
V-reg,Emollama-chat-7b,937,0.0857812166488794,0.011894165421558167,0.1090603751211143,-0.019448239060832446,0.10731230786350127,0.747947887407844
V-reg,Emoopt-13b,937,0.08377161152614727,0.011132271077908219,0.10550957813349562,-0.01970117395944503,0.10365391851024205,0.7640933732055205
