Dataset,Model,Samples,MAE,MSE,RMSE,Mean_Residual,Std_Residual,R_squared
EI-reg,Emobloom-7b,4068,0.09431120943952802,0.014304271386430678,0.11960046566142908,-0.000303343166175025,0.11960008097553368,0.5843336498579009
EI-reg,Emollama-7b,4068,0.09051794493608652,0.012985600540806294,0.11395437920855124,0.008231809242871188,0.11365666657699967,0.6226527702543055
EI-reg,Emollama-chat-13b,4068,0.0852487708947886,0.011353095378564406,0.10655090510438851,-0.0014233038348082645,0.10654139845505231,0.6700915697600904
EI-reg,Emollama-chat-7b,4068,0.09049041297935104,0.013024602507374632,0.1141253806450372,-0.013647246804326453,0.11330646566739443,0.621519416121553
EI-reg,Emoopt-13b,4068,0.09012586037364799,0.013068703048180925,0.11431842829649524,9.439528023598479e-05,0.11431838932434271,0.6202379030447224
