Dataset,Model,Samples,MAE,MSE,RMSE,Mean_Residual,Std_Residual,R_squared
SST,Emobloom-7b,2196,0.12875465072859743,0.025695999878966758,0.16029971889858932,0.05127360974499088,0.15187829608829936,0.6083280821095571
SST,Emollama-7b,2210,0.14319614841628958,0.028894146904465155,0.1699827841414099,0.016903046153846163,0.16914027886693964,0.5605170353698545
SST,Emollama-chat-13b,2210,0.13527322533936653,0.026458541378673303,0.1626608169740743,0.018806213574660637,0.1615700086948613,0.5975628474744212
SST,Emollama-chat-7b,2210,0.1351119819004525,0.026470443209442533,0.16269739767261962,0.016518430769230767,0.16185667936283837,0.5973818193967182
SST,Emoopt-13b,2210,0.15509776832579186,0.033903730134329416,0.1841296557709524,0.0589939963800905,0.1744231593723588,0.48432075600913815
