dataset,model,mode,repeat_index,accuracy,f1_micro,f1_macro,pcc,ace
SST5,Emollama-7b,global,3,0.18329466357308585,0.18329466357308585,0.1384319680593164,0.690728384845844,0.028909512761020884
SST5,Emollama-7b,global,4,0.16473317865429235,0.16473317865429235,0.1252227768905521,0.7138784035746533,0.01972157772621811
SST5,Emollama-7b,global,5,0.14617169373549885,0.14617169373549885,0.10444656618700128,0.6975378412612432,0.026032482598607833
SST5,Emollama-7b,global,6,0.16937354988399073,0.16937354988399073,0.1273520841058792,0.7014323344579863,0.017494199535962863
SST5,Emollama-7b,global,7,0.17633410672853828,0.17633410672853828,0.12913118570248555,0.6895253768186825,0.010440835266821335
SST5,Emollama-7b,global,8,0.17633410672853828,0.17633410672853828,0.13263610056068004,0.6883014062862057,0.02529002320185616
SST5,Emollama-7b,global,9,0.20185614849187936,0.20185614849187936,0.1422316384180791,0.7080212788761607,0.028538283062644988
SST5,Emollama-7b,hybrid,0,0.2111368909512761,0.2111368909512761,0.14938146852469034,0.7274398264254744,0.054988399071925764
SST5,Emollama-7b,hybrid,1,0.21809744779582366,0.21809744779582366,0.1551958525345622,0.7325614943513985,0.03132250580046405
SST5,Emollama-7b,hybrid,2,0.19721577726218098,0.19721577726218098,0.1399374780582209,0.7499049357484874,0.029559164733178645
SST5,Emollama-7b,hybrid,3,0.18329466357308585,0.18329466357308585,0.1384319680593164,0.690728384845844,0.03651972157772622
SST5,Emollama-7b,hybrid,4,0.16473317865429235,0.16473317865429235,0.1252227768905521,0.7138784035746533,0.028909512761020904
SST5,Emollama-7b,hybrid,5,0.14617169373549885,0.14617169373549885,0.10444656618700128,0.6975378412612432,0.053596287703016256
SST5,Emollama-7b,hybrid,6,0.16937354988399073,0.16937354988399073,0.1273520841058792,0.7014323344579863,0.021113689095127584
SST5,Emollama-7b,hybrid,7,0.17633410672853828,0.17633410672853828,0.12913118570248555,0.6895253768186825,0.03085846867749418
SST5,Emollama-7b,hybrid,8,0.17633410672853828,0.17633410672853828,0.13263610056068004,0.6883014062862057,0.038561484918793465
SST5,Emollama-7b,hybrid,9,0.20185614849187936,0.20185614849187936,0.1422316384180791,0.7080212788761607,0.02946635730858469
SST5,Emollama-7b,mondrian,0,0.2111368909512761,0.2111368909512761,0.14938146852469034,0.7274398264254744,0.07308584686774941
SST5,Emollama-7b,mondrian,1,0.21809744779582366,0.21809744779582366,0.1551958525345622,0.7325614943513985,0.07401392111368912
SST5,Emollama-7b,mondrian,2,0.19721577726218098,0.19721577726218098,0.1399374780582209,0.7499049357484874,0.06334106728538284
SST5,Emollama-7b,mondrian,3,0.18329466357308585,0.18329466357308585,0.1384319680593164,0.690728384845844,0.022969837587006946
SST5,Emollama-7b,mondrian,4,0.16473317865429235,0.16473317865429235,0.1252227768905521,0.7138784035746533,0.04477958236658932
SST5,Emollama-7b,mondrian,5,0.14617169373549885,0.14617169373549885,0.10444656618700128,0.6975378412612432,0.02064965197215778
SST5,Emollama-7b,mondrian,6,0.16937354988399073,0.16937354988399073,0.1273520841058792,0.7014323344579863,0.02009280742459396
SST5,Emollama-7b,mondrian,7,0.17633410672853828,0.17633410672853828,0.12913118570248555,0.6895253768186825,0.05730858468677493
SST5,Emollama-7b,mondrian,8,0.17633410672853828,0.17633410672853828,0.13263610056068004,0.6883014062862057,0.017865429234338738
SST5,Emollama-7b,mondrian,9,0.20185614849187936,0.20185614849187936,0.1422316384180791,0.7080212788761607,0.062412993039443164
SST5,Emollama-chat-13b,global,0,0.26018099547511314,0.26018099547511314,0.2237046762166623,0.762814157732367,0.01628959276018096
SST5,Emollama-chat-13b,global,1,0.2895927601809955,0.2895927601809955,0.23689021817845474,0.7660230596897939,0.012941176470588234
SST5,Emollama-chat-13b,global,2,0.23076923076923078,0.23076923076923078,0.17988214540404607,0.7369971836212127,0.006334841628959276
SST5,Emollama-chat-13b,global,3,0.2420814479638009,0.2420814479638009,0.18854182094651303,0.769952350377403,0.015294117647058814
SST5,Emollama-chat-13b,global,4,0.21040723981900453,0.21040723981900453,0.17920365201007854,0.7355543828158762,0.010497737556561115
SST5,Emollama-chat-13b,global,5,0.2873303167420814,0.2873303167420814,0.23241663161184314,0.7463827853465242,0.02244343891402716
SST5,Emollama-chat-13b,global,6,0.26244343891402716,0.26244343891402716,0.22067099520368688,0.7738084665349121,0.02171945701357465
SST5,Emollama-chat-13b,global,7,0.24660633484162897,0.24660633484162897,0.20863225799459534,0.7539238316579461,0.028959276018099545
SST5,Emollama-chat-13b,global,8,0.248868778280543,0.248868778280543,0.20606252144091278,0.747661953515819,0.019999999999999973
SST5,Emollama-chat-13b,global,9,0.2398190045248869,0.2398190045248869,0.20463401802365108,0.7727330594601054,0.026696832579185537
SST5,Emollama-chat-13b,hybrid,0,0.26018099547511314,0.26018099547511314,0.2237046762166623,0.762814157732367,0.029864253393665153
SST5,Emollama-chat-13b,hybrid,1,0.2895927601809955,0.2895927601809955,0.23689021817845474,0.7660230596897939,0.02416289592760181
SST5,Emollama-chat-13b,hybrid,2,0.23076923076923078,0.23076923076923078,0.17988214540404607,0.7369971836212127,0.032579185520361986
SST5,Emollama-chat-13b,hybrid,3,0.2420814479638009,0.2420814479638009,0.18854182094651303,0.769952350377403,0.025520361990950202
SST5,Emollama-chat-13b,hybrid,4,0.21040723981900453,0.21040723981900453,0.17920365201007854,0.7355543828158762,0.02714932126696832
SST5,Emollama-chat-13b,hybrid,5,0.2873303167420814,0.2873303167420814,0.23241663161184314,0.7463827853465242,0.011945701357466032
SST5,Emollama-chat-13b,hybrid,6,0.26244343891402716,0.26244343891402716,0.22067099520368688,0.7738084665349121,0.03547511312217193
SST5,Emollama-chat-13b,hybrid,7,0.24660633484162897,0.24660633484162897,0.20863225799459534,0.7539238316579461,0.0497737556561086
SST5,Emollama-chat-13b,hybrid,8,0.248868778280543,0.248868778280543,0.20606252144091278,0.747661953515819,0.009954751131221707
SST5,Emollama-chat-13b,hybrid,9,0.2398190045248869,0.2398190045248869,0.20463401802365108,0.7727330594601054,0.03574660633484161
SST5,Emollama-chat-13b,mondrian,0,0.26018099547511314,0.26018099547511314,0.2237046762166623,0.762814157732367,0.012760180995475068
SST5,Emollama-chat-13b,mondrian,1,0.2895927601809955,0.2895927601809955,0.23689021817845474,0.7660230596897939,0.0316742081447964
SST5,Emollama-chat-13b,mondrian,2,0.23076923076923078,0.23076923076923078,0.17988214540404607,0.7369971836212127,0.02352941176470589
SST5,Emollama-chat-13b,mondrian,3,0.2420814479638009,0.2420814479638009,0.18854182094651303,0.769952350377403,0.008597285067873318
SST5,Emollama-chat-13b,mondrian,4,0.21040723981900453,0.21040723981900453,0.17920365201007854,0.7355543828158762,0.017737556561085978
SST5,Emollama-chat-13b,mondrian,5,0.2873303167420814,0.2873303167420814,0.23241663161184314,0.7463827853465242,0.013665158371040698
SST5,Emollama-chat-13b,mondrian,6,0.26244343891402716,0.26244343891402716,0.22067099520368688,0.7738084665349121,0.05701357466063348
