dataset,model,mode,alpha,repeat_index,coverage,interval_size,ece
E-c,Emobloom-7b,hybrid,0.2,7,0.8584615384615385,6.421538461538462,0.058461538461538454
E-c,Emobloom-7b,hybrid,0.3,7,0.76,5.006153846153846,0.06000000000000005
E-c,Emobloom-7b,hybrid,0.4,7,0.6692307692307692,4.090769230769231,0.0692307692307692
E-c,Emobloom-7b,hybrid,0.5,7,0.5584615384615385,3.287692307692308,0.058461538461538454
E-c,Emobloom-7b,hybrid,0.6,7,0.43846153846153846,2.609230769230769,0.038461538461538436
E-c,Emobloom-7b,hybrid,0.7,7,0.35384615384615387,2.1507692307692308,0.05384615384615382
E-c,Emobloom-7b,hybrid,0.8,7,0.24153846153846154,1.743076923076923,0.04153846153846158
E-c,Emobloom-7b,hybrid,0.9,7,0.12615384615384614,1.216923076923077,0.026153846153846166
E-c,Emobloom-7b,hybrid,0.1,8,0.9184615384615384,8.472307692307693,0.018461538461538418
E-c,Emobloom-7b,hybrid,0.2,8,0.8261538461538461,6.383076923076923,0.026153846153846083
E-c,Emobloom-7b,hybrid,0.3,8,0.7538461538461538,5.178461538461539,0.05384615384615388
E-c,Emobloom-7b,hybrid,0.4,8,0.6707692307692308,4.3476923076923075,0.0707692307692308
E-c,Emobloom-7b,hybrid,0.5,8,0.583076923076923,3.5215384615384617,0.08307692307692305
E-c,Emobloom-7b,hybrid,0.6,8,0.46307692307692305,2.756923076923077,0.06307692307692303
E-c,Emobloom-7b,hybrid,0.7,8,0.3861538461538462,2.3030769230769232,0.08615384615384614
E-c,Emobloom-7b,hybrid,0.8,8,0.26461538461538464,1.8876923076923078,0.06461538461538469
E-c,Emobloom-7b,hybrid,0.9,8,0.12923076923076923,1.2276923076923076,0.029230769230769255
E-c,Emobloom-7b,hybrid,0.1,9,0.9400921658986175,9.036866359447005,0.04009216589861753
E-c,Emobloom-7b,hybrid,0.2,9,0.8556067588325653,6.686635944700461,0.05560675883256527
E-c,Emobloom-7b,hybrid,0.3,9,0.7634408602150538,5.447004608294931,0.0634408602150538
E-c,Emobloom-7b,hybrid,0.4,9,0.6866359447004609,4.456221198156682,0.08663594470046088
E-c,Emobloom-7b,hybrid,0.5,9,0.5668202764976958,3.565284178187404,0.06682027649769584
E-c,Emobloom-7b,hybrid,0.6,9,0.4946236559139785,2.8678955453149,0.09462365591397848
E-c,Emobloom-7b,hybrid,0.7,9,0.3640552995391705,2.2795698924731185,0.06405529953917044
E-c,Emobloom-7b,hybrid,0.8,9,0.25960061443932414,1.792626728110599,0.059600614439324184
E-c,Emobloom-7b,hybrid,0.9,9,0.13671274961597543,1.2119815668202765,0.036712749615975454
E-c,Emobloom-7b,mondrian,0.1,0,0.9493087557603687,9.285714285714286,0.04930875576036864
E-c,Emobloom-7b,mondrian,0.2,0,0.8878648233486943,7.703533026113671,0.08786482334869428
E-c,Emobloom-7b,mondrian,0.3,0,0.8202764976958525,6.1551459293394775,0.12027649769585258
E-c,Emobloom-7b,mondrian,0.4,0,0.7357910906298003,5.199692780337942,0.13579109062980033
E-c,Emobloom-7b,mondrian,0.5,0,0.65284178187404,4.365591397849462,0.15284178187403996
E-c,Emobloom-7b,mondrian,0.6,0,0.5084485407066052,3.3748079877112134,0.10844854070660515
E-c,Emobloom-7b,mondrian,0.7,0,0.37327188940092165,2.500768049155146,0.07327188940092161
E-c,Emobloom-7b,mondrian,0.8,0,0.2764976958525346,1.9078341013824884,0.07649769585253463
E-c,Emobloom-7b,mondrian,0.9,0,0.19201228878648233,1.261136712749616,0.09201228878648235
E-c,Emobloom-7b,mondrian,0.1,1,0.9324116743471582,8.920122887864823,0.03241167434715819
E-c,Emobloom-7b,mondrian,0.2,1,0.858678955453149,7.125960061443933,0.05867895545314894
E-c,Emobloom-7b,mondrian,0.3,1,0.7926267281105991,5.8986175115207375,0.09262672811059913
E-c,Emobloom-7b,mondrian,0.4,1,0.717357910906298,4.921658986175115,0.11735791090629799
E-c,Emobloom-7b,mondrian,0.5,1,0.6328725038402457,4.010752688172043,0.13287250384024574
E-c,Emobloom-7b,mondrian,0.6,1,0.5284178187403994,3.1566820276497696,0.12841781874039937
E-c,Emobloom-7b,mondrian,0.7,1,0.40860215053763443,2.445468509984639,0.10860215053763439
E-c,Emobloom-7b,mondrian,0.8,1,0.2995391705069124,1.9523809523809523,0.09953917050691247
E-c,Emobloom-7b,mondrian,0.9,1,0.19508448540706605,1.2887864823348694,0.09508448540706607
E-c,Emobloom-7b,mondrian,0.1,2,0.96,9.215384615384615,0.05999999999999994
E-c,Emobloom-7b,mondrian,0.2,2,0.8907692307692308,7.378461538461538,0.09076923076923071
E-c,Emobloom-7b,mondrian,0.3,2,0.84,6.103076923076923,0.14
E-c,Emobloom-7b,mondrian,0.4,2,0.7353846153846154,5.069230769230769,0.13538461538461544
E-c,Emobloom-7b,mondrian,0.5,2,0.6246153846153846,4.266153846153846,0.12461538461538457
E-c,Emobloom-7b,mondrian,0.6,2,0.5076923076923077,3.46,0.10769230769230764
E-c,Emobloom-7b,mondrian,0.7,2,0.36923076923076925,2.6338461538461537,0.0692307692307692
E-c,Emobloom-7b,mondrian,0.8,2,0.2523076923076923,1.7923076923076924,0.05230769230769233
E-c,Emobloom-7b,mondrian,0.9,2,0.14,1.2476923076923077,0.040000000000000036
E-c,Emobloom-7b,mondrian,0.1,3,0.9432515337423313,9.529141104294478,0.04325153374233126
E-c,Emobloom-7b,mondrian,0.2,3,0.8757668711656442,7.728527607361963,0.07576687116564418
E-c,Emobloom-7b,mondrian,0.3,3,0.7960122699386503,6.361963190184049,0.09601226993865031
E-c,Emobloom-7b,mondrian,0.4,3,0.7285276073619632,5.549079754601227,0.12852760736196323
E-c,Emobloom-7b,mondrian,0.5,3,0.6134969325153374,4.47239263803681,0.11349693251533743
E-c,Emobloom-7b,mondrian,0.6,3,0.5061349693251533,3.5552147239263805,0.10613496932515332
E-c,Emobloom-7b,mondrian,0.7,3,0.348159509202454,2.526073619631902,0.04815950920245393
E-c,Emobloom-7b,mondrian,0.8,3,0.2331288343558282,1.8496932515337423,0.03312883435582825
E-c,Emobloom-7b,mondrian,0.9,3,0.1196319018404908,1.2162576687116564,0.019631901840490823
E-c,Emobloom-7b,mondrian,0.1,4,0.94,9.215384615384615,0.039999999999999925
E-c,Emobloom-7b,mondrian,0.2,4,0.8692307692307693,7.235384615384615,0.0692307692307692
E-c,Emobloom-7b,mondrian,0.3,4,0.8107692307692308,6.015384615384615,0.11076923076923084
E-c,Emobloom-7b,mondrian,0.4,4,0.7307692307692307,5.112307692307692,0.13076923076923075
E-c,Emobloom-7b,mondrian,0.5,4,0.6246153846153846,4.2615384615384615,0.12461538461538457
E-c,Emobloom-7b,mondrian,0.6,4,0.49230769230769234,3.373846153846154,0.09230769230769231
E-c,Emobloom-7b,mondrian,0.7,4,0.3646153846153846,2.6276923076923078,0.06461538461538457
E-c,Emobloom-7b,mondrian,0.8,4,0.2276923076923077,1.9353846153846155,0.027692307692307738
E-c,Emobloom-7b,mondrian,0.9,4,0.12615384615384614,1.3692307692307693,0.026153846153846166
E-c,Emobloom-7b,mondrian,0.1,5,0.9279141104294478,8.45398773006135,0.027914110429447803
E-c,Emobloom-7b,mondrian,0.2,5,0.8374233128834356,6.82361963190184,0.03742331288343559
E-c,Emobloom-7b,mondrian,0.3,5,0.7822085889570553,5.75920245398773,0.0822085889570553
E-c,Emobloom-7b,mondrian,0.4,5,0.6978527607361963,4.918711656441718,0.09785276073619631
E-c,Emobloom-7b,mondrian,0.5,5,0.6134969325153374,4.147239263803681,0.11349693251533743
E-c,Emobloom-7b,mondrian,0.6,5,0.4539877300613497,3.1165644171779143,0.05398773006134966
E-c,Emobloom-7b,mondrian,0.7,5,0.37116564417177916,2.5736196319018405,0.07116564417177912
E-c,Emobloom-7b,mondrian,0.8,5,0.27607361963190186,1.8788343558282208,0.0760736196319019
E-c,Emobloom-7b,mondrian,0.9,5,0.17484662576687116,1.361963190184049,0.07484662576687118
E-c,Emobloom-7b,mondrian,0.1,6,0.9540581929555896,9.05666156202144,0.05405819295558956
E-c,Emobloom-7b,mondrian,0.2,6,0.8836140888208269,7.211332312404288,0.08361408882082688
E-c,Emobloom-7b,mondrian,0.3,6,0.7947932618683001,5.989280245022971,0.09479326186830017
E-c,Emobloom-7b,mondrian,0.4,6,0.7212863705972435,5.056661562021439,0.12128637059724356
E-c,Emobloom-7b,mondrian,0.5,6,0.6523736600306279,4.316998468606432,0.1523736600306279
E-c,Emobloom-7b,mondrian,0.6,6,0.5022970903522205,3.405819295558959,0.10229709035222045
E-c,Emobloom-7b,mondrian,0.7,6,0.37059724349157736,2.578866768759571,0.07059724349157731
E-c,Emobloom-7b,mondrian,0.8,6,0.22358346094946402,1.8514548238897397,0.023583460949464063
E-c,Emobloom-7b,mondrian,0.9,6,0.1225114854517611,1.3001531393568146,0.022511485451761126
E-c,Emobloom-7b,mondrian,0.1,7,0.9476923076923077,9.010769230769231,0.0476923076923077
E-c,Emobloom-7b,mondrian,0.2,7,0.8738461538461538,6.943076923076923,0.07384615384615378
E-c,Emobloom-7b,mondrian,0.3,7,0.7923076923076923,5.613846153846154,0.09230769230769231
E-c,Emobloom-7b,mondrian,0.4,7,0.703076923076923,4.67076923076923,0.10307692307692307
E-c,Emobloom-7b,mondrian,0.5,7,0.5953846153846154,3.893846153846154,0.0953846153846154
E-c,Emobloom-7b,mondrian,0.6,7,0.4707692307692308,3.2169230769230768,0.07076923076923075
E-c,Emobloom-7b,mondrian,0.7,7,0.3707692307692308,2.5292307692307694,0.07076923076923075
E-c,Emobloom-7b,mondrian,0.8,7,0.24769230769230768,1.9276923076923076,0.04769230769230773
E-c,Emobloom-7b,mondrian,0.9,7,0.1276923076923077,1.243076923076923,0.02769230769230771
E-c,Emobloom-7b,mondrian,0.1,8,0.9261538461538461,8.895384615384616,0.026153846153846083
E-c,Emobloom-7b,mondrian,0.2,8,0.8415384615384616,7.087692307692308,0.041538461538461524
E-c,Emobloom-7b,mondrian,0.3,8,0.7753846153846153,5.775384615384615,0.07538461538461538
E-c,Emobloom-7b,mondrian,0.4,8,0.7061538461538461,4.878461538461538,0.10615384615384615
E-c,Emobloom-7b,mondrian,0.5,8,0.6276923076923077,4.130769230769231,0.12769230769230766
E-c,Emobloom-7b,mondrian,0.6,8,0.49538461538461537,3.4307692307692306,0.09538461538461535
E-c,Emobloom-7b,mondrian,0.7,8,0.4,2.6553846153846155,0.09999999999999998
E-c,Emobloom-7b,mondrian,0.8,8,0.2676923076923077,2.0076923076923077,0.06769230769230772
E-c,Emobloom-7b,mondrian,0.9,8,0.1276923076923077,1.2446153846153847,0.02769230769230771
E-c,Emobloom-7b,mondrian,0.1,9,0.9493087557603687,9.502304147465438,0.04930875576036864
E-c,Emobloom-7b,mondrian,0.2,9,0.8755760368663594,7.287250384024578,0.07557603686635939
E-c,Emobloom-7b,mondrian,0.3,9,0.7910906298003072,6.216589861751152,0.09109062980030724
E-c,Emobloom-7b,mondrian,0.4,9,0.728110599078341,5.411674347158218,0.128110599078341
E-c,Emobloom-7b,mondrian,0.5,9,0.6113671274961597,4.470046082949309,0.11136712749615973
E-c,Emobloom-7b,mondrian,0.6,9,0.5238095238095238,3.4700460829493087,0.12380952380952381
E-c,Emobloom-7b,mondrian,0.7,9,0.3686635944700461,2.5053763440860215,0.06866359447004605
E-c,Emobloom-7b,mondrian,0.8,9,0.2626728110599078,1.9370199692780339,0.06267281105990785
E-c,Emobloom-7b,mondrian,0.9,9,0.13671274961597543,1.2165898617511521,0.036712749615975454
E-c,Emollama-7b,global,0.1,0,0.9079754601226994,7.2315950920245395,0.00797546012269934
E-c,Emollama-7b,global,0.2,0,0.8144171779141104,5.168711656441718,0.014417177914110346
E-c,Emollama-7b,global,0.3,0,0.7239263803680982,3.986196319018405,0.023926380368098243
E-c,Emollama-7b,global,0.4,0,0.6088957055214724,3.1134969325153374,0.008895705521472452
E-c,Emollama-7b,global,0.5,0,0.4938650306748466,2.539877300613497,0.006134969325153394
E-c,Emollama-7b,global,0.6,0,0.40644171779141103,2.067484662576687,0.006441717791411006
E-c,Emollama-7b,global,0.7,0,0.3282208588957055,1.6702453987730062,0.02822085889570547
E-c,Emollama-7b,global,0.8,0,0.22392638036809817,1.3987730061349692,0.023926380368098216
E-c,Emollama-7b,global,0.9,0,0.15184049079754602,1.1104294478527608,0.051840490797546046
E-c,Emollama-7b,global,0.1,1,0.9216589861751152,7.28110599078341,0.02165898617511519
E-c,Emollama-7b,global,0.2,1,0.8141321044546851,5.170506912442396,0.014132104454685046
E-c,Emollama-7b,global,0.3,1,0.7127496159754224,3.9600614439324118,0.012749615975422457
E-c,Emollama-7b,global,0.4,1,0.6067588325652842,3.109062980030722,0.006758832565284201
